generation_index,individual_index,cap_post_loading,cap_post_conveyor,cap_post_washing,cap_pre_press1,cap_pre_press2,cap_post_press12,wip,throughput
0,0,3,4,5,1,5,8,24.064087301587303,27.01904761904762
0,1,9,1,2,6,4,9,28.285912698412698,27.340476190476192
0,2,2,7,6,5,7,7,32.76825396825397,27.376190476190477
0,3,4,3,2,6,4,3,25.14265873015873,27.31547619047619
0,4,4,7,2,9,6,9,33.903571428571425,27.42142857142857
0,5,5,9,10,9,5,9,43.910515873015875,27.502380952380953
0,6,2,1,10,3,1,1,22.582539682539682,26.93690476190476
0,7,4,4,2,2,6,4,24.103968253968254,27.28214285714286
0,8,2,1,4,1,1,9,14.832341269841269,26.603571428571428
0,9,4,1,10,3,10,10,33.73392857142857,27.327380952380953
0,10,4,1,3,9,1,8,24.137103174603176,26.955952380952382
0,11,4,4,2,7,3,1,26.00813492063492,27.288095238095238
0,12,1,9,9,7,5,6,36.67261904761905,27.42142857142857
0,13,3,1,8,6,1,10,24.95,27.021428571428572
0,14,1,8,6,7,5,1,32.98253968253968,27.314285714285713
0,15,2,10,1,9,7,7,35.04662698412698,27.341666666666665
0,16,7,3,8,3,2,4,28.893055555555556,27.307142857142857
0,17,6,4,10,8,2,7,35.784126984126985,27.38452380952381
0,18,1,6,3,3,10,5,29.193650793650793,27.30238095238095
0,19,7,4,10,8,4,4,38.667857142857144,27.42142857142857
0,20,8,9,7,3,5,8,38.01884920634921,27.41785714285714
0,21,7,8,7,3,5,8,35.920833333333334,27.320238095238096
0,22,3,7,4,6,1,1,26.94563492063492,27.076190476190476
0,23,2,2,10,7,2,1,28.9484126984127,27.28690476190476
0,24,2,2,8,2,7,7,27.07123015873016,27.275
0,25,9,5,8,3,9,6,40.00873015873016,27.41785714285714
0,26,4,5,5,4,5,2,28.878373015873017,27.21666666666667
0,27,4,8,1,9,3,2,31.233531746031748,27.26309523809524
0,28,8,3,9,5,10,2,40.64404761904762,27.42142857142857
0,29,8,5,10,3,7,1,38.77777777777778,27.39404761904762
0,30,8,7,5,1,1,7,28.110912698412697,26.704761904761906
0,31,4,5,8,5,4,9,31.965873015873015,27.267857142857142
0,32,2,5,10,4,10,8,36.816071428571426,27.310714285714287
0,33,8,8,9,8,3,8,41.99404761904762,27.38095238095238
0,34,6,1,8,9,4,7,33.965873015873015,27.267857142857142
0,35,10,10,3,8,3,2,40.01150793650794,27.370238095238093
0,36,2,5,8,9,8,3,37.954166666666666,27.310714285714287
0,37,3,1,3,8,8,7,29.139087301587303,27.208333333333332
0,38,10,5,6,3,8,9,38.10178571428571,27.295238095238094
0,39,9,10,1,10,9,7,45.17896825396825,27.354761904761904
0,40,10,3,7,8,7,7,41.08551587301587,27.35
0,41,4,8,8,10,2,7,38.09285714285714,27.271428571428572
0,42,4,2,7,9,2,3,29.874404761904763,27.202380952380953
0,43,10,4,7,1,3,1,30.7781746031746,26.802380952380954
0,44,8,10,9,9,4,10,45.98134920634921,27.289285714285715
0,45,7,9,3,6,1,10,32.022619047619045,26.998809523809523
0,46,5,7,9,4,10,1,40.70456349206349,27.28095238095238
0,47,8,10,2,9,8,4,43.16448412698413,27.233333333333334
0,48,8,9,7,5,1,8,35.839285714285715,26.92142857142857
0,49,9,5,10,4,1,1,34.74980158730159,26.847619047619048
1,0,5,9,10,9,5,9,43.910515873015875,27.502380952380953
1,1,2,1,4,1,1,9,14.832341269841269,26.603571428571428
1,2,1,2,2,6,4,3,21.15654761904762,27.320238095238096
1,3,2,1,4,9,5,8,27.053174603174604,27.42142857142857
1,4,2,1,2,1,8,8,19.97440476190476,26.891666666666666
1,5,4,1,2,6,3,1,22.088293650793652,27.37142857142857
1,6,6,4,2,7,3,4,28.235714285714284,27.44047619047619
1,7,4,7,2,9,6,9,33.903571428571425,27.42142857142857
1,8,2,1,10,3,1,1,22.582539682539682,26.93690476190476
1,9,7,3,7,3,3,1,28.75515873015873,27.40714285714286
1,10,1,2,8,5,6,7,27.89325396825397,27.4
1,11,4,4,3,1,1,8,18.982142857142858,26.44047619047619
1,12,4,1,2,9,1,8,23.106150793650794,26.951190476190476
1,13,3,3,2,6,4,3,23.985714285714284,27.364285714285714
1,14,4,3,2,6,4,3,25.14265873015873,27.31547619047619
1,15,4,4,2,2,6,4,24.103968253968254,27.28214285714286
1,16,1,9,9,7,5,6,36.67261904761905,27.42142857142857
1,17,8,1,8,3,9,5,35.09345238095238,27.416666666666668
1,18,3,7,5,1,1,6,22.976388888888888,26.482142857142858
1,19,1,5,3,3,10,5,28.151785714285715,27.39761904761905
1,20,3,1,3,7,8,5,28.136309523809523,27.322619047619046
1,21,1,1,9,1,5,9,23.010515873015873,26.93095238095238
1,22,6,3,8,9,3,7,34.790277777777774,27.4
1,23,4,3,2,5,4,2,23.99861111111111,27.25595238095238
1,24,3,4,5,1,5,8,24.064087301587303,27.01904761904762
1,25,9,1,2,6,4,9,28.285912698412698,27.340476190476192
1,26,3,1,8,6,1,10,24.95,27.021428571428572
1,27,6,4,10,8,2,7,35.784126984126985,27.38452380952381
1,28,3,4,2,7,3,4,25.279761904761905,27.30952380952381
1,29,3,1,4,8,1,7,23.1875,26.91190476190476
1,30,1,2,10,7,5,1,30.851984126984128,27.370238095238093
1,31,6,1,8,7,4,7,31.883928571428573,27.379761904761907
1,32,3,9,9,6,5,5,37.67281746031746,27.42142857142857
1,33,2,1,1,9,6,3,25.2625,27.27857142857143
1,34,2,7,6,5,7,7,32.76825396825397,27.376190476190477
1,35,4,1,3,9,1,8,24.137103174603176,26.955952380952382
1,36,4,4,2,7,3,1,26.00813492063492,27.288095238095238
1,37,7,3,8,3,2,4,28.893055555555556,27.307142857142857
1,38,7,4,10,8,4,4,38.667857142857144,27.42142857142857
1,39,8,9,7,3,5,8,38.01884920634921,27.41785714285714
1,40,2,2,8,1,7,7,26.007936507936506,27.052380952380954
1,41,1,8,8,6,3,5,32.13611111111111,27.336904761904762
1,42,8,3,9,5,10,2,40.64404761904762,27.42142857142857
1,43,2,5,7,4,1,2,24.858531746031748,26.92142857142857
1,44,3,7,4,6,1,1,26.94563492063492,27.076190476190476
1,45,2,2,8,2,7,7,27.07123015873016,27.275
1,46,8,5,10,3,7,1,38.77777777777778,27.39404761904762
1,47,4,8,1,9,5,2,33.18333333333333,27.367857142857144
1,48,1,8,6,7,5,1,32.98253968253968,27.314285714285713
1,49,1,6,3,3,10,5,29.193650793650793,27.30238095238095
2,0,5,9,10,9,5,9,43.910515873015875,27.502380952380953
2,1,2,1,4,1,1,9,14.832341269841269,26.603571428571428
2,2,2,1,4,9,5,8,27.053174603174604,27.42142857142857
2,3,6,4,2,7,3,4,28.235714285714284,27.44047619047619
2,4,2,4,1,4,2,2,19.226785714285715,27.379761904761907
2,5,2,1,4,9,5,8,27.053174603174604,27.42142857142857
2,6,1,2,2,6,2,3,19.17063492063492,27.257142857142856
2,7,2,1,4,9,5,8,27.053174603174604,27.42142857142857
2,8,3,1,2,4,10,2,26.059126984126983,27.386904761904763
2,9,1,2,2,6,4,3,21.15654761904762,27.320238095238096
2,10,4,1,2,6,3,1,22.088293650793652,27.37142857142857
2,11,4,7,2,9,6,9,33.903571428571425,27.42142857142857
2,12,7,3,7,3,3,1,28.75515873015873,27.40714285714286
2,13,1,2,8,5,6,7,27.89325396825397,27.4
2,14,4,4,3,1,1,8,18.982142857142858,26.44047619047619
2,15,4,1,2,5,1,3,19.230357142857144,26.938095238095237
2,16,1,1,2,1,8,8,19.215873015873015,26.917857142857144
2,17,3,9,1,6,4,5,29.292460317460318,27.41785714285714
2,18,4,3,2,6,6,6,27.22519841269841,27.372619047619047
2,19,2,1,2,1,8,8,19.97440476190476,26.891666666666666
2,20,3,3,2,6,4,3,23.985714285714284,27.364285714285714
2,21,1,5,3,3,10,5,28.151785714285715,27.39761904761905
2,22,2,1,2,1,8,8,19.97440476190476,26.891666666666666
2,23,4,4,2,5,3,1,23.934325396825397,27.330952380952382
2,24,1,7,4,1,1,5,19.89920634920635,26.56547619047619
2,25,1,2,2,8,4,7,22.99920634920635,27.29047619047619
2,26,4,4,3,3,1,7,21.194642857142856,26.920238095238094
2,27,5,1,10,9,4,8,34.668055555555554,27.42142857142857
2,28,2,1,4,1,8,8,21.932936507936507,27.135714285714286
2,29,2,1,10,3,1,1,22.582539682539682,26.93690476190476
2,30,8,1,8,3,9,5,35.09345238095238,27.416666666666668
2,31,6,3,8,9,3,7,34.790277777777774,27.4
2,32,1,2,10,7,5,1,30.851984126984128,27.370238095238093
2,33,6,1,8,7,4,7,31.883928571428573,27.379761904761907
2,34,2,1,7,6,1,10,22.939484126984127,27.00357142857143
2,35,4,7,1,9,5,2,32.333531746031746,27.392857142857142
2,36,6,1,8,7,4,7,31.883928571428573,27.379761904761907
2,37,6,3,8,9,4,7,35.67777777777778,27.42142857142857
2,38,3,3,2,6,4,2,24.009126984126983,27.320238095238096
2,39,1,5,3,3,9,5,27.094841269841268,27.349999999999998
2,40,1,1,1,9,5,8,23.088293650793652,27.28690476190476
2,41,1,9,9,7,5,6,36.67261904761905,27.42142857142857
2,42,3,7,5,1,1,6,22.976388888888888,26.482142857142858
2,43,3,7,5,1,1,6,22.976388888888888,26.482142857142858
2,44,2,2,8,1,4,3,22.996031746031747,26.96785714285714
2,45,2,1,8,6,1,9,23.803373015873017,26.988095238095237
2,46,6,1,8,6,4,6,31.20734126984127,27.360714285714288
2,47,2,7,6,5,7,7,32.76825396825397,27.376190476190477
