generation_index,individual_index,loading_robot_process_time_reduction10percent_flag,conveyor_belt_process_time_reduction10percent_flag,washing_machine_process_time_reduction10percent_flag,hantering_cell_process_time_reduction10percent_flag,presses_cell1_process_time_reduction10percent_flag,presses_cell2_process_time_reduction10percent_flag,quality_station_cell_process_time_reduction10percent_flag,wip,energy consumption per part
0,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
0,1,1,1,1,1,1,1,0,18.30595238095238,0.4085769030352389
0,2,1,0,0,0,1,1,0,18.12936507936508,0.4223916859969667
0,3,0,1,1,0,1,0,0,18.16577380952381,0.42123179411386136
0,4,1,1,1,0,1,0,1,18.139285714285712,0.42294147334707916
0,5,1,0,0,1,1,0,1,18.1593253968254,0.4350640257786434
0,6,1,1,0,1,0,1,0,18.179960317460317,0.4369172469608881
0,7,0,0,0,0,0,1,0,18.24781746031746,0.43627970545992933
0,8,0,1,0,0,0,0,0,18.183333333333334,0.45366551905830704
1,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
1,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
1,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
1,3,1,1,1,1,1,1,0,18.30595238095238,0.4085769030352389
1,4,1,0,0,0,1,1,0,18.12936507936508,0.4223916859969667
1,5,0,1,1,0,1,0,0,18.16577380952381,0.42123179411386136
1,6,1,0,0,1,0,1,0,18.094345238095237,0.43629623880752394
1,7,1,0,1,1,1,1,0,18.276289682539684,0.4088359679372193
1,8,1,0,1,0,1,0,1,18.186011904761905,0.42074239206929726
1,9,0,0,0,0,0,0,0,18.116468253968254,0.4522101871629228
2,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
2,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
2,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
2,3,1,0,1,1,1,1,0,18.25128968253968,0.4064822864394775
2,4,0,1,1,0,1,0,0,18.16577380952381,0.42123179411386136
2,5,1,1,1,1,1,1,0,18.206746031746032,0.4073350145746019
2,6,0,0,0,0,1,0,0,18.084424603174604,0.43607705148487563
2,7,1,0,1,1,1,0,0,18.106051587301586,0.4212382099850097
2,8,0,0,0,0,0,0,0,18.0703373015873,0.45356354920551
2,9,1,0,1,1,1,1,0,18.177777777777777,0.40750855258953983
3,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
3,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
3,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
3,3,1,0,1,1,1,1,0,18.25128968253968,0.4064822864394775
3,4,1,1,1,1,1,1,0,18.206746031746032,0.4073350145746019
3,5,1,0,1,1,1,0,0,18.106051587301586,0.4212382099850097
3,6,1,0,1,1,1,1,0,18.177777777777777,0.40750855258953983
3,7,1,0,1,1,1,1,0,18.18452380952381,0.4074786559193879
3,8,0,0,0,1,1,0,1,18.044444444444444,0.4351509101267691
3,9,1,1,1,1,1,1,0,18.12688492063492,0.40756830967362606
4,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
4,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
4,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
4,3,1,0,1,1,1,1,0,18.25128968253968,0.4064822864394775
4,4,1,1,1,1,1,1,0,18.206746031746032,0.4073350145746019
4,5,0,0,0,1,1,0,1,18.044444444444444,0.4351509101267691
4,6,1,1,1,1,1,1,0,18.12688492063492,0.40756830967362606
4,7,1,0,1,1,1,0,1,18.093849206349205,0.4234188142060625
4,8,1,0,1,1,1,0,0,18.106051587301586,0.4212382099850097
4,9,1,0,1,1,1,1,0,18.177777777777777,0.40750855258953983
5,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
5,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
5,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
5,3,1,0,1,1,1,1,0,18.25128968253968,0.4064822864394775
5,4,1,0,1,1,1,1,0,18.302777777777777,0.40600002873610763
5,5,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
5,6,0,0,0,1,1,0,1,18.044444444444444,0.4351509101267691
5,7,0,0,1,0,1,1,0,18.198611111111113,0.4071207399193525
5,8,1,1,1,1,1,1,0,18.12688492063492,0.40756830967362606
5,9,1,0,1,1,1,0,0,18.106051587301586,0.4212382099850097
6,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
6,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
6,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
6,3,1,0,1,1,1,1,0,18.302777777777777,0.40600002873610763
6,4,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
6,5,1,0,1,1,1,1,0,18.243055555555554,0.40642590154905883
6,6,1,0,1,1,1,1,0,18.233234126984126,0.40687593264449434
6,7,1,0,1,1,1,1,0,18.25128968253968,0.4064822864394775
6,8,0,0,0,1,1,0,1,18.044444444444444,0.4351509101267691
6,9,1,0,1,1,1,0,0,18.106051587301586,0.4212382099850097
7,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
7,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
7,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
7,3,1,0,1,1,1,1,0,18.302777777777777,0.40600002873610763
7,4,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
7,5,1,0,1,1,1,1,0,18.243055555555554,0.40642590154905883
7,6,1,0,1,1,1,1,0,18.233234126984126,0.40687593264449434
7,7,1,0,1,1,1,1,0,18.25128968253968,0.4064822864394775
7,8,0,0,0,1,1,0,1,18.044444444444444,0.4351509101267691
7,9,1,0,1,1,1,0,0,18.106051587301586,0.4212382099850097
8,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
8,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
8,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
8,3,1,0,1,1,1,1,0,18.302777777777777,0.40600002873610763
8,4,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
8,5,1,0,1,1,1,1,0,18.243055555555554,0.40642590154905883
8,6,1,0,1,1,1,1,0,18.233234126984126,0.40687593264449434
8,7,1,0,1,1,1,1,0,18.25128968253968,0.4064822864394775
8,8,0,0,0,1,1,0,1,18.008928571428573,0.4361838119876471
8,9,1,0,1,1,1,1,0,18.175595238095237,0.40801753654284806
9,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
9,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
9,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
9,3,1,0,1,1,1,1,0,18.302777777777777,0.40600002873610763
9,4,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
9,5,1,0,1,1,1,1,0,18.243055555555554,0.40642590154905883
9,6,1,0,1,1,1,1,0,18.233234126984126,0.40687593264449434
9,7,1,0,1,1,1,0,1,17.98035714285714,0.423415158363742
9,8,0,0,0,1,1,0,1,18.008928571428573,0.4361838119876471
9,9,1,0,1,1,1,1,0,18.25128968253968,0.4064822864394775
10,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
10,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
10,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
10,3,1,0,1,1,1,1,0,18.302777777777777,0.40600002873610763
10,4,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
10,5,1,0,1,1,1,1,0,18.243055555555554,0.40642590154905883
10,6,1,0,1,1,1,1,0,18.233234126984126,0.40687593264449434
10,7,1,0,1,1,1,0,1,17.98035714285714,0.423415158363742
10,8,0,0,0,1,1,0,1,18.008928571428573,0.4361838119876471
10,9,1,0,1,1,1,1,0,18.25128968253968,0.4064822864394775
11,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
11,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
11,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
11,3,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
11,4,1,0,1,1,1,1,0,18.243055555555554,0.40642590154905883
11,5,1,0,1,1,1,1,0,18.233234126984126,0.40687593264449434
11,6,1,0,1,1,1,0,1,17.98035714285714,0.423415158363742
11,7,1,0,1,1,1,1,0,18.254662698412698,0.4059632264517822
11,8,0,0,0,1,1,0,1,18.008928571428573,0.4361838119876471
11,9,1,0,1,0,1,1,0,18.370238095238093,0.4059866717238481
12,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
12,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
12,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
12,3,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
12,4,1,0,1,1,1,1,0,18.243055555555554,0.40642590154905883
12,5,1,0,1,1,1,1,0,18.233234126984126,0.40687593264449434
12,6,1,0,1,1,1,0,1,17.98035714285714,0.423415158363742
12,7,1,0,1,1,1,1,0,18.254662698412698,0.4059632264517822
12,8,1,0,1,1,1,1,0,18.238690476190477,0.406857113365744
12,9,1,0,1,0,1,1,0,18.370238095238093,0.4059866717238481
13,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
13,1,0,0,1,0,1,1,0,18.17371031746032,0.406989740364732
13,2,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
13,3,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
13,4,1,0,1,1,1,1,0,18.243055555555554,0.40642590154905883
13,5,1,0,1,1,1,1,0,18.233234126984126,0.40687593264449434
13,6,1,0,1,1,1,0,1,17.98035714285714,0.423415158363742
13,7,1,0,1,1,1,1,0,18.254662698412698,0.4059632264517822
13,8,1,0,1,1,1,1,0,18.238690476190477,0.406857113365744
13,9,1,0,1,0,1,1,0,18.370238095238093,0.4059866717238481
14,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
14,1,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
14,2,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
14,3,1,0,1,1,1,1,0,18.243055555555554,0.40642590154905883
14,4,1,0,1,1,1,1,0,18.254662698412698,0.4059632264517822
14,5,1,0,1,1,1,1,0,18.238690476190477,0.406857113365744
14,6,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
14,7,0,0,1,1,1,1,0,18.149305555555557,0.40686527319094207
14,8,1,0,1,0,1,1,0,18.370238095238093,0.4059866717238481
14,9,1,0,1,1,1,0,1,17.98035714285714,0.423415158363742
15,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
15,1,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
15,2,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
15,3,1,0,1,1,1,1,0,18.243055555555554,0.40642590154905883
15,4,1,0,1,1,1,1,0,18.254662698412698,0.4059632264517822
15,5,1,0,1,1,1,1,0,18.238690476190477,0.406857113365744
15,6,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
15,7,0,0,1,1,1,1,0,18.149305555555557,0.40686527319094207
15,8,1,0,1,0,1,1,0,18.370238095238093,0.4059866717238481
15,9,1,0,1,1,1,0,1,17.98035714285714,0.423415158363742
16,0,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
16,1,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
16,2,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
16,3,1,0,1,1,1,1,0,18.243055555555554,0.40642590154905883
16,4,1,0,1,1,1,1,0,18.254662698412698,0.4059632264517822
16,5,1,0,1,1,1,1,0,18.238690476190477,0.406857113365744
16,6,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
16,7,0,0,1,1,1,1,0,18.149305555555557,0.40686527319094207
16,8,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
16,9,1,0,1,1,1,0,1,17.98035714285714,0.423415158363742
17,0,1,0,1,1,1,1,0,18.254662698412698,0.4059632264517822
17,1,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
17,2,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
17,3,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
17,4,0,0,1,1,1,1,0,18.149305555555557,0.40686527319094207
17,5,1,0,1,1,1,1,0,18.238690476190477,0.406857113365744
17,6,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
17,7,1,0,1,1,1,0,1,17.994146825396825,0.42202815894542195
17,8,1,0,1,1,1,0,0,18.027083333333334,0.42191140096650115
17,9,1,0,1,1,1,0,1,18.00575396825397,0.4219799245707177
18,0,1,0,1,1,1,1,0,18.254662698412698,0.4059632264517822
18,1,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
18,2,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
18,3,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
18,4,1,0,1,1,1,1,0,18.19781746031746,0.4064580564054498
18,5,0,0,1,1,1,1,0,18.149305555555557,0.40686527319094207
18,6,1,0,1,1,1,1,0,18.097123015873017,0.40709450222924287
18,7,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
18,8,1,0,1,1,1,0,1,17.994146825396825,0.42202815894542195
18,9,1,0,1,1,1,0,0,18.027083333333334,0.42191140096650115
19,0,1,0,1,1,1,1,0,18.254662698412698,0.4059632264517822
19,1,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
19,2,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
19,3,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
19,4,0,0,1,1,1,1,0,18.149305555555557,0.40686527319094207
19,5,1,0,1,1,1,1,0,18.097123015873017,0.40709450222924287
19,6,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
19,7,1,0,1,1,1,0,1,17.994146825396825,0.42202815894542195
19,8,1,0,1,1,1,0,0,18.027083333333334,0.42191140096650115
19,9,1,0,1,1,1,1,0,18.176984126984127,0.4059768338171698
20,0,1,0,1,1,1,1,0,18.254662698412698,0.4059632264517822
20,1,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
20,2,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
20,3,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
20,4,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
20,5,1,0,1,1,1,0,1,17.994146825396825,0.42202815894542195
20,6,1,0,1,1,1,0,0,18.027083333333334,0.42191140096650115
20,7,1,0,1,1,1,1,0,18.176984126984127,0.4059768338171698
20,8,0,0,1,1,1,1,0,18.063194444444445,0.406579893735407
20,9,0,0,1,1,1,0,1,18.090575396825397,0.4229971229930307
21,0,1,0,1,1,1,1,0,18.254662698412698,0.4059632264517822
21,1,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
21,2,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
21,3,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
21,4,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
21,5,1,0,1,1,1,0,1,17.994146825396825,0.42202815894542195
21,6,1,0,1,1,1,0,0,18.027083333333334,0.42191140096650115
21,7,1,0,1,1,1,1,0,18.176984126984127,0.4059768338171698
21,8,0,0,1,1,1,1,0,18.063194444444445,0.406579893735407
21,9,0,0,1,1,1,0,1,18.090575396825397,0.4229971229930307
22,0,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
22,1,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
22,2,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
22,3,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
22,4,1,0,1,1,1,0,1,17.994146825396825,0.42202815894542195
22,5,1,0,1,1,1,0,0,18.027083333333334,0.42191140096650115
22,6,1,0,1,1,1,1,0,18.176984126984127,0.4059768338171698
22,7,0,0,1,1,1,1,0,18.063194444444445,0.406579893735407
22,8,0,0,1,1,1,1,0,18.187599206349205,0.40596388085689383
22,9,1,0,1,1,1,1,0,18.2375,0.40564768590478417
23,0,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
23,1,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
23,2,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
23,3,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
23,4,1,0,1,1,1,0,1,17.994146825396825,0.42202815894542195
23,5,1,0,1,1,1,0,0,18.027083333333334,0.42191140096650115
23,6,1,0,1,1,1,1,0,18.176984126984127,0.4059768338171698
23,7,0,0,1,1,1,1,0,18.063194444444445,0.406579893735407
23,8,0,0,1,1,1,1,0,18.187599206349205,0.40596388085689383
23,9,1,0,1,1,1,1,0,18.2375,0.40564768590478417
24,0,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
24,1,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
24,2,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
24,3,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
24,4,1,0,1,1,1,0,1,17.994146825396825,0.42202815894542195
24,5,1,0,1,1,1,0,0,18.027083333333334,0.42191140096650115
24,6,1,0,1,1,1,1,0,18.176984126984127,0.4059768338171698
24,7,0,0,1,1,1,1,0,18.063194444444445,0.406579893735407
24,8,0,0,1,1,1,1,0,18.187599206349205,0.40596388085689383
24,9,1,0,1,1,1,1,0,18.2375,0.40564768590478417
25,0,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
25,1,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
25,2,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
25,3,1,0,1,1,1,0,1,17.971626984126985,0.42340630117293565
25,4,1,0,1,1,1,0,1,17.994146825396825,0.42202815894542195
25,5,1,0,1,1,1,0,0,18.027083333333334,0.42191140096650115
25,6,1,0,1,1,1,1,0,18.176984126984127,0.4059768338171698
25,7,0,0,1,1,1,1,0,18.063194444444445,0.406579893735407
25,8,0,0,1,1,1,1,0,18.187599206349205,0.40596388085689383
25,9,1,0,1,1,1,1,0,18.2375,0.40564768590478417
26,0,1,0,1,1,1,0,1,17.92281746031746,0.4235018199938524
26,1,1,0,1,1,1,1,1,18.04950396825397,0.4072844421950821
26,2,1,0,1,1,1,0,1,18.032738095238095,0.4211484499217874
26,3,1,0,1,1,1,1,0,18.176984126984127,0.4059768338171698
26,4,0,0,1,1,1,1,0,18.063194444444445,0.406579893735407
26,5,0,0,1,1,1,1,0,18.187599206349205,0.40596388085689383
26,6,1,0,1,1,1,1,0,18.2375,0.40564768590478417
26,7,1,0,1,1,1,0,1,17.95357142857143,0.42181518090091297
