generation,individual_index,post_loading_buffer_capacity,post_conveyor_buffer_capacity,post_washing_buffer_capacity,pre_press1_buffer_capacity,pre_press2_buffer_capacity,post_press12_buffer_capacity,throughput,energy consumption per part
0,0,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
0,1,6,1,8,5,7,8,27.420238095238094,0.45022105431093606
0,2,6,6,9,3,10,5,27.33214285714286,0.4507614159675397
0,3,9,4,7,6,3,6,27.348809523809525,0.45116807776596035
0,4,10,2,8,4,5,1,27.436904761904763,0.45182990760352487
0,5,4,10,2,3,5,8,27.373809523809523,0.45166026241210366
0,6,5,4,2,3,4,5,27.26309523809524,0.4510594404387156
0,7,10,3,7,8,5,6,27.342857142857145,0.4513949706106265
0,8,1,1,6,9,6,4,27.40357142857143,0.4518654299852112
0,9,1,9,1,4,4,6,27.39047619047619,0.45220546306644654
0,10,10,4,9,8,3,5,27.33452380952381,0.45147510386210066
0,11,3,10,2,3,4,5,27.317857142857143,0.45206715261062563
0,12,5,3,6,3,10,1,27.33452380952381,0.45250460106848334
0,13,9,3,1,3,7,2,27.36190476190476,0.4526260138695059
0,14,6,8,8,5,2,7,27.30357142857143,0.4528919547820464
0,15,4,6,6,3,8,6,27.294047619047618,0.4527893316688527
0,16,3,4,6,4,4,5,27.208333333333332,0.4523707290644874
0,17,1,2,3,9,10,9,27.26309523809524,0.45304327592731886
0,18,6,9,7,10,2,6,27.302380952380954,0.4532111063981131
0,19,3,1,2,9,3,9,27.241666666666667,0.45386690326806745
0,20,8,1,4,2,2,7,27.292857142857144,0.45435668888686664
0,21,9,6,1,2,3,9,27.21547619047619,0.4533303838851156
0,22,6,2,1,2,7,3,27.179761904761904,0.4541006856460406
0,23,4,3,2,9,2,9,27.211904761904762,0.45435185449248033
0,24,3,9,6,3,7,4,27.188095238095237,0.45450052538926844
0,25,8,2,4,3,3,1,27.18095238095238,0.454715672668262
0,26,10,1,10,1,5,4,27.114285714285714,0.4551412047087632
0,27,3,4,1,6,7,1,27.12142857142857,0.456480974972258
0,28,1,3,10,10,1,9,27.060714285714287,0.45612657473020973
0,29,1,6,10,3,1,7,27.029761904761905,0.4556236944918232
0,30,9,10,3,6,1,3,27.01547619047619,0.4561058913345678
0,31,9,4,10,4,1,10,26.90595238095238,0.4567932854622073
0,32,9,8,6,1,6,10,26.807142857142857,0.46004328764765673
0,33,5,6,5,1,1,1,26.745238095238097,0.4594412996237944
0,34,3,10,10,1,1,3,26.483333333333334,0.4610715086175358
1,0,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
1,1,6,1,8,5,7,8,27.420238095238094,0.45022105431093606
1,2,10,2,8,3,2,1,27.446428571428573,0.45030408612910666
1,3,6,6,9,3,10,5,27.33214285714286,0.4507614159675397
1,4,10,2,8,4,5,1,27.436904761904763,0.45182990760352487
1,5,5,2,2,5,9,7,27.398809523809526,0.4508848970424685
1,6,9,4,7,6,3,6,27.348809523809525,0.45116807776596035
1,7,5,4,2,3,4,5,27.26309523809524,0.4510594404387156
1,8,1,1,6,9,6,4,27.40357142857143,0.4518654299852112
1,9,3,1,2,9,3,5,27.396428571428572,0.45166398332169927
1,10,9,2,1,3,7,2,27.377380952380953,0.45150304681890985
1,11,4,10,2,3,5,8,27.373809523809523,0.45166026241210366
1,12,10,3,7,8,5,6,27.342857142857145,0.4513949706106265
1,13,1,9,1,4,4,6,27.39047619047619,0.45220546306644654
1,14,6,1,1,2,6,3,27.391666666666666,0.4523372298160341
1,15,2,4,6,4,4,8,27.386904761904763,0.451923301527913
1,16,10,4,9,8,3,5,27.33452380952381,0.45147510386210066
1,17,4,6,2,3,4,6,27.34642857142857,0.45203864492863977
1,18,1,4,1,4,3,6,27.377380952380953,0.4523905765537262
1,19,3,10,2,3,4,5,27.317857142857143,0.45206715261062563
1,20,5,3,6,3,10,1,27.33452380952381,0.45250460106848334
1,21,9,3,1,3,7,2,27.36190476190476,0.4526260138695059
1,22,5,1,6,3,9,4,27.33452380952381,0.45250460106848334
1,23,5,1,7,3,7,3,27.302380952380954,0.4517784551946438
1,24,3,9,6,5,7,8,27.266666666666666,0.4522720497660203
1,25,7,6,9,5,3,4,27.28571428571429,0.4525850445308063
1,26,6,9,7,9,2,6,27.292857142857144,0.4526070619322527
1,27,9,3,7,6,2,6,27.345238095238095,0.4528086044863441
1,28,3,10,2,3,5,5,27.34285714285714,0.4527679747682178
1,29,4,3,6,3,7,4,27.28095238095238,0.45248142745477354
1,30,7,4,6,5,3,1,27.242857142857144,0.4522320360553033
1,31,6,8,8,5,2,7,27.30357142857143,0.4528919547820464
1,32,4,6,6,3,8,6,27.294047619047618,0.4527893316688527
1,33,3,4,6,4,4,5,27.208333333333332,0.4523707290644874
1,34,5,4,9,3,4,5,27.24047619047619,0.45239731000508115
1,35,9,3,8,2,3,2,27.277380952380952,0.4526384105644565
1,36,2,1,1,9,2,9,27.288095238095238,0.45272155016817195
1,37,1,1,3,9,10,8,27.311904761904763,0.4531853411225165
1,38,8,4,1,8,6,5,27.31904761904762,0.45405576189757924
1,39,6,9,7,10,2,6,27.302380952380954,0.4532111063981131
1,40,3,4,6,4,2,5,27.30238095238095,0.4530254792547001
1,41,1,7,8,9,2,9,27.304761904761904,0.4533129314601756
1,42,3,1,1,9,3,9,27.228571428571428,0.4528753742358954
1,43,1,2,3,9,10,9,27.26309523809524,0.45304327592731886
1,44,3,9,6,3,6,4,27.297619047619047,0.4537031039335814
1,45,5,2,9,2,7,4,27.292857142857144,0.4532504179673555
1,46,4,9,9,3,5,8,27.289285714285715,0.4536437315018844
1,47,6,6,9,3,9,5,27.289285714285715,0.4536437315018844
1,48,6,1,8,5,7,7,27.26309523809524,0.4530836856329394
1,49,9,4,1,8,2,3,27.292857142857144,0.4537279273216305
2,0,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
2,1,6,1,8,5,7,8,27.420238095238094,0.45022105431093606
2,2,10,2,8,3,2,1,27.446428571428573,0.45030408612910666
2,3,10,2,8,4,5,1,27.436904761904763,0.45182990760352487
2,4,1,4,7,9,2,9,27.432142857142857,0.45175134693107977
2,5,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
2,6,3,1,2,2,6,4,27.414285714285715,0.45031958265735955
2,7,9,3,7,3,2,6,27.39761904761905,0.4504782225750444
2,8,2,6,6,4,4,8,27.436904761904763,0.45183399253144424
2,9,6,3,8,5,7,1,27.42142857142857,0.4507756864187453
2,10,6,6,9,3,10,5,27.33214285714286,0.4507614159675397
2,11,5,2,2,5,9,7,27.398809523809526,0.4508848970424685
2,12,5,2,9,5,9,3,27.40714285714286,0.45113877930985424
2,13,5,2,2,5,8,7,27.364285714285714,0.4508669899101074
2,14,5,2,2,5,9,7,27.398809523809526,0.4508848970424685
2,15,1,1,6,9,6,4,27.40357142857143,0.4518654299852112
2,16,3,1,2,9,3,5,27.396428571428572,0.45166398332169927
2,17,5,1,6,9,6,4,27.370238095238097,0.4510083939396288
2,18,4,1,7,3,4,5,27.392857142857142,0.4511121801962726
2,19,9,4,7,6,3,6,27.348809523809525,0.45116807776596035
2,20,5,4,2,3,4,5,27.26309523809524,0.4510594404387156
2,21,9,2,1,3,7,2,27.377380952380953,0.45150304681890985
2,22,1,9,1,4,4,6,27.39047619047619,0.45220546306644654
2,23,6,1,1,2,6,3,27.391666666666666,0.4523372298160341
2,24,2,4,6,4,4,8,27.386904761904763,0.451923301527913
2,25,4,10,2,3,5,8,27.373809523809523,0.45166026241210366
2,26,10,3,7,8,5,6,27.342857142857145,0.4513949706106265
2,27,9,3,1,8,6,2,27.336904761904762,0.4513519473624011
2,28,7,4,1,2,6,4,27.38095238095238,0.45220795243075157
2,29,3,6,1,3,8,4,27.382142857142856,0.452235728342629
2,30,10,4,9,8,3,5,27.33452380952381,0.45147510386210066
2,31,4,6,2,3,4,6,27.34642857142857,0.45203864492863977
2,32,1,4,1,4,3,6,27.377380952380953,0.4523905765537262
2,33,9,6,6,6,2,6,27.345238095238095,0.45186233201573134
2,34,3,10,2,3,4,5,27.317857142857143,0.45206715261062563
2,35,5,3,6,3,10,1,27.33452380952381,0.45250460106848334
2,36,9,3,1,3,7,2,27.36190476190476,0.4526260138695059
2,37,5,1,6,3,9,4,27.33452380952381,0.45250460106848334
2,38,5,1,7,3,7,3,27.302380952380954,0.4517784551946438
2,39,9,3,7,6,2,6,27.345238095238095,0.4528086044863441
2,40,3,10,2,3,5,5,27.34285714285714,0.4527679747682178
2,41,3,9,2,3,6,2,27.316666666666666,0.45220767717414406
2,42,7,4,6,5,3,1,27.242857142857144,0.4522320360553033
2,43,9,2,8,3,5,1,27.32857142857143,0.4530753996215214
2,44,10,2,8,5,2,1,27.310714285714287,0.45262257995067207
2,45,3,9,6,5,6,3,27.327380952380953,0.4529401821035325
2,46,3,9,6,5,7,8,27.266666666666666,0.4522720497660203
2,47,6,9,7,9,2,6,27.292857142857144,0.4526070619322527
2,48,4,3,6,3,7,4,27.28095238095238,0.45248142745477354
2,49,5,3,6,3,9,1,27.28095238095238,0.45248142745477354
3,0,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
3,1,10,2,8,3,2,1,27.446428571428573,0.45030408612910666
3,2,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
3,3,9,3,1,4,6,2,27.475,0.45052774496498316
3,4,6,1,8,5,7,8,27.420238095238094,0.45022105431093606
3,5,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
3,6,2,1,6,4,4,8,27.45,0.45111750565894565
3,7,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
3,8,10,2,8,4,5,1,27.436904761904763,0.45182990760352487
3,9,1,4,7,9,2,9,27.432142857142857,0.45175134693107977
3,10,3,1,2,2,6,4,27.414285714285715,0.45031958265735955
3,11,6,3,8,5,7,1,27.42142857142857,0.4507756864187453
3,12,1,9,1,4,3,6,27.425,0.4510362466029946
3,13,2,6,6,4,4,8,27.436904761904763,0.45183399253144424
3,14,5,2,9,5,9,3,27.40714285714286,0.45113877930985424
3,15,5,2,7,4,4,3,27.422619047619047,0.4515639092941181
3,16,2,6,6,4,4,8,27.436904761904763,0.45183399253144424
3,17,6,3,8,4,6,8,27.401190476190475,0.45042546607610084
3,18,9,3,7,3,2,6,27.39761904761905,0.4504782225750444
3,19,5,2,2,5,9,7,27.398809523809526,0.4508848970424685
3,20,5,2,2,5,9,7,27.398809523809526,0.4508848970424685
3,21,5,1,6,9,6,6,27.40714285714286,0.45114275515774793
3,22,5,2,2,5,8,7,27.364285714285714,0.4508669899101074
3,23,5,1,6,9,6,4,27.370238095238097,0.4510083939396288
3,24,4,1,7,3,4,5,27.392857142857142,0.4511121801962726
3,25,5,2,2,9,8,7,27.40714285714286,0.45115648555068916
3,26,2,6,1,4,4,6,27.358333333333334,0.4505317870797415
3,27,4,1,7,3,4,5,27.392857142857142,0.4511121801962726
3,28,4,2,2,5,9,7,27.364285714285714,0.4508669899101074
3,29,4,2,2,5,9,7,27.364285714285714,0.4508669899101074
