eval_id,PostLoadingBuffer,PostConveyorBuffer,PostWashingBuffer,PrePress1Buffer,PrePress2Buffer,PostPress1_2Buffer,wip,throughput
0,5,5,4,5,1,2,23.884848484848487,31.272727272727273
1,1,3,1,2,3,5,15.478787878787879,32.72727272727273
2,5,4,4,3,1,1,22.2,32.0
3,2,1,2,5,4,3,19.69090909090909,32.36363636363637
4,3,3,2,1,2,4,16.672727272727272,29.09090909090909
5,4,1,3,1,2,2,16.606060606060606,29.09090909090909
6,3,4,1,1,3,1,17.806060606060605,30.90909090909091
7,1,2,4,3,4,5,19.527272727272727,32.36363636363637
8,2,1,4,3,1,1,16.52121212121212,32.0
9,4,5,4,1,1,2,20.545454545454547,29.454545454545453
10,5,3,4,2,5,3,23.721212121212123,32.72727272727273
11,1,3,5,5,3,3,22.375757575757575,32.36363636363637
12,5,5,3,2,2,2,22.151515151515152,30.181818181818183
13,3,3,3,2,4,4,20.048484848484847,32.72727272727273
14,5,2,5,1,5,1,23.533333333333335,29.09090909090909
15,5,4,3,2,2,1,21.09090909090909,30.181818181818183
16,4,5,1,4,2,1,21.36969696969697,29.09090909090909
17,3,5,1,4,1,3,19.67878787878788,32.0
18,1,4,3,2,2,5,17.545454545454547,30.181818181818183
19,4,3,1,3,2,4,18.818181818181817,32.36363636363637
20,2,1,1,3,3,5,15.969696969696969,32.36363636363637
21,3,5,4,1,1,2,19.593939393939394,29.454545454545453
22,5,5,1,4,1,3,21.563636363636363,32.0
23,5,4,4,3,1,3,22.345454545454544,32.0
24,4,3,2,3,2,4,19.64242424242424,32.36363636363637
25,5,5,3,2,2,2,22.151515151515152,30.181818181818183
26,5,1,3,1,1,2,16.73939393939394,29.454545454545453
27,1,2,4,3,4,5,19.527272727272727,32.36363636363637
28,3,3,3,2,4,4,20.048484848484847,32.72727272727273
29,1,3,4,2,1,1,16.818181818181817,31.636363636363637
30,4,3,3,2,4,4,20.98181818181818,32.72727272727273
31,3,4,3,2,2,1,19.21212121212121,30.181818181818183
32,2,1,2,5,4,1,19.563636363636363,32.36363636363637
33,3,3,1,1,2,4,15.787878787878787,28.0
34,2,1,2,5,4,3,19.69090909090909,32.36363636363637
35,4,5,4,5,2,2,24.963636363636365,29.09090909090909
36,1,4,3,2,2,5,17.545454545454547,30.181818181818183
37,1,3,2,2,3,5,16.32121212121212,32.72727272727273
38,2,1,4,3,1,1,16.52121212121212,32.0
39,2,1,4,3,4,1,19.393939393939394,32.36363636363637
40,1,2,1,3,2,4,15.0,32.36363636363637
41,4,1,4,3,1,1,18.436363636363637,32.0
42,3,1,1,3,3,1,16.78787878787879,32.36363636363637
43,1,3,2,3,1,5,15.818181818181818,32.0
44,3,3,3,1,2,4,17.587878787878786,29.09090909090909
